,ID,Label,Hemi,Network,regions,x,y,z,
175,176,STSva_L,L,Auditory_Association,cortex,142.689243,118.134462,52.832669,
176,177,TE1m_L,L,Lateral_Temporal,cortex,155.554922,101.395287,54.901178,
177,178,PI_L,L,Insular_and_Frontal_Opercular,cortex,134.650549,124.293407,56.102198,
178,179,a32pr_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,97.782313,155.883735,101.53927,
179,180,p24_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,95.442887,162.526279,84.888577,
180,181,V1_R,R,Primary_Visual,cortex,78.060375,44.539286,74.333474,
181,182,MST_R,R,MT+_Complex_and_Neighboring_Visual_Areas,cortex,43.620295,63.751227,78.013093,
182,183,V6_R,R,Dorsal_Stream_Visual,cortex,72.226868,49.256228,102.929715,
183,184,V2_R,R,Early_Visual,cortex,77.026083,47.558042,76.305265,
184,185,V3_R,R,Early_Visual,cortex,71.976821,41.580308,78.859282,
185,186,V4_R,R,Early_Visual,cortex,57.656017,41.782393,71.003195,
186,187,V8_R,R,Ventral_Stream_Visual,cortex,60.698264,51.949266,59.301736,
187,188,4_R,R,Somatosensory_and_Motor,cortex,60.980681,108.738321,126.822972,
188,189,3b_R,R,Somatosensory_and_Motor,cortex,52.032115,105.85919,122.884387,
189,190,FEF_R,R,Premotor,cortex,46.370874,123.157282,123.201942,
190,191,PEF_R,R,Premotor,cortex,45.069136,127.783951,109.748148,
191,192,55b_R,R,Premotor,cortex,41.45439,127.938619,119.895993,
192,193,V3A_R,R,Dorsal_Stream_Visual,cortex,75.553398,36.584466,102.458252,
193,194,RSC_R,R,Posterior_Cingulate,cortex,84.934198,92.434662,93.496756,
194,195,POS2_R,R,Posterior_Cingulate,cortex,80.662438,56.100589,108.736747,
195,196,V7_R,R,Dorsal_Stream_Visual,cortex,62.285714,42.400534,103.668892,
196,197,IPS1_R,R,Dorsal_Stream_Visual,cortex,64.710065,55.195753,111.066482,
197,198,FFC_R,R,Ventral_Stream_Visual,cortex,49.72947,75.126159,51.324834,
198,199,V3B_R,R,Dorsal_Stream_Visual,cortex,60.919386,48.422265,91.56238,
199,200,LO1_R,R,MT+_Complex_and_Neighboring_Visual_Areas,cortex,47.281977,45.175872,76.959302,
200,201,LO2_R,R,MT+_Complex_and_Neighboring_Visual_Areas,cortex,44.07,44.375,67.918333,
201,202,PIT_R,R,Ventral_Stream_Visual,cortex,44.641614,49.954905,58.057753,
202,203,MT_R,R,MT+_Complex_and_Neighboring_Visual_Areas,cortex,38.58547,57.830484,80.888889,
203,204,A1_R,R,Early_Auditory,cortex,46.328479,105.454693,81.894822,
204,205,PSL_R,R,Temporo-Parieto-Occipital_Junction,cortex,25.980366,89.316377,98.788934,
205,206,SFL_R,R,Dorsolateral_Prefrontal,cortex,82.702811,141.914659,137.409639,
206,207,PCV_R,R,Posterior_Cingulate,cortex,84.876497,74.045369,121.958412,
207,208,STV_R,R,Temporo-Parieto-Occipital_Junction,cortex,30.525124,81.598012,91.518498,
208,209,7Pm_R,R,Superior_Parietal,cortex,84.893683,59.192604,121.912173,
209,210,7m_R,R,Posterior_Cingulate,cortex,85.454762,66.283333,105.271429,
210,211,POS1_R,R,Posterior_Cingulate,cortex,79.376277,69.248778,87.420702,
211,212,23d_R,R,Posterior_Cingulate,cortex,86.894973,103.731598,111.127469,
212,213,v23ab_R,R,Posterior_Cingulate,cortex,86.05698,74.521368,90.964387,
213,214,d23ab_R,R,Posterior_Cingulate,cortex,86.84742,84.848518,104.53787,
214,215,31pv_R,R,Posterior_Cingulate,cortex,80.754159,82.767098,105.438078,
215,216,5m_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,85.168053,86.77371,136.587354,
216,217,5mv_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,79.398401,84.221852,127.565623,
217,218,23c_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,80.814159,89.430678,115.231268,
218,219,5L_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,77.196914,77.524614,145.837619,
219,220,24dd_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,84.408074,109.82229,124.363317,
220,221,24dv_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,82.241719,124.339302,118.569382,
221,222,7AL_R,R,Superior_Parietal,cortex,66.808871,72.715323,139.629032,
222,223,SCEF_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,84.455241,131.183536,131.043635,
223,224,6ma_R,R,Paracentral_Lobular_and_Mid_Cingulate,cortex,69.698918,131.674072,137.728442,
224,225,7Am_R,R,Superior_Parietal,cortex,81.616644,64.449523,132.899045,
