,ID,Label,Network,x,y,z,colors
321,322,RH_Limbic_OFC_4,Limbic,20,42,-18,#F6EFD1
322,323,RH_Limbic_OFC_5,Limbic,4,22,-20,#F6EFD1
323,324,RH_Limbic_OFC_6,Limbic,10,62,-14,#F6EFD1
324,325,RH_Limbic_TempPole_1,Limbic,28,-2,-40,#F6EFD1
325,326,RH_Limbic_TempPole_2,Limbic,48,-6,-40,#F6EFD1
326,327,RH_Limbic_TempPole_3,Limbic,36,18,-38,#F6EFD1
327,328,RH_Limbic_TempPole_4,Limbic,40,-14,-32,#F6EFD1
328,329,RH_Limbic_TempPole_5,Limbic,28,12,-30,#F6EFD1
329,330,RH_Limbic_TempPole_6,Limbic,50,-28,-26,#F6EFD1
330,331,RH_Limbic_TempPole_7,Limbic,22,-18,-28,#F6EFD1
331,332,RH_Cont_Par_1,Control,54,-52,44,#FDB841
332,333,RH_Cont_Par_2,Control,56,-40,48,#FDB841
333,334,RH_Cont_Par_3,Control,36,-70,46,#FDB841
334,335,RH_Cont_Par_4,Control,54,-32,52,#FDB841
335,336,RH_Cont_Par_5,Control,46,-44,46,#FDB841
336,337,RH_Cont_Par_6,Control,42,-56,48,#FDB841
337,338,RH_Cont_Temp_1,Control,62,-28,-20,#FDB841
338,339,RH_Cont_Temp_2,Control,64,-42,-10,#FDB841
339,340,RH_Cont_PFCv_1,Control,34,22,-8,#FDB841
340,341,RH_Cont_PFCl_1,Control,28,54,-14,#FDB841
341,342,RH_Cont_PFCl_2,Control,42,50,-6,#FDB841
342,343,RH_Cont_PFCl_3,Control,28,60,2,#FDB841
343,344,RH_Cont_PFCl_4,Control,50,40,6,#FDB841
344,345,RH_Cont_PFCl_5,Control,42,46,14,#FDB841
345,346,RH_Cont_PFCl_6,Control,50,30,18,#FDB841
346,347,RH_Cont_PFCl_7,Control,48,18,24,#FDB841
347,348,RH_Cont_PFCl_8,Control,26,54,24,#FDB841
348,349,RH_Cont_PFCl_9,Control,48,28,28,#FDB841
349,350,RH_Cont_PFCl_10,Control,38,10,34,#FDB841
350,351,RH_Cont_PFCl_11,Control,38,34,38,#FDB841
351,352,RH_Cont_PFCl_12,Control,44,18,44,#FDB841
352,353,RH_Cont_PFCl_13,Control,42,6,50,#FDB841
353,354,RH_Cont_PFCl_14,Control,34,16,56,#FDB841
354,355,RH_Cont_PFCl_15,Control,24,10,58,#FDB841
355,356,RH_Cont_pCun_1,Control,14,-72,40,#FDB841
356,357,RH_Cont_pCun_2,Control,6,-64,44,#FDB841
357,358,RH_Cont_Cing_1,Control,6,-28,28,#FDB841
358,359,RH_Cont_Cing_2,Control,4,2,30,#FDB841
359,360,RH_Cont_PFCmp_1,Control,8,34,24,#FDB841
360,361,RH_Cont_PFCmp_2,Control,4,28,48,#FDB841
361,362,RH_Default_Par_1,Default Mode,54,-46,20,#D77C7C
362,363,RH_Default_Par_2,Default Mode,48,-64,22,#D77C7C
363,364,RH_Default_Par_3,Default Mode,54,-54,26,#D77C7C
364,365,RH_Default_Par_4,Default Mode,56,-46,32,#D77C7C
365,366,RH_Default_Par_5,Default Mode,48,-64,42,#D77C7C
366,367,RH_Default_Temp_1,Default Mode,50,8,-32,#D77C7C
367,368,RH_Default_Temp_2,Default Mode,60,-8,-24,#D77C7C
368,369,RH_Default_Temp_3,Default Mode,48,16,-20,#D77C7C
369,370,RH_Default_Temp_4,Default Mode,54,-4,-14,#D77C7C
370,371,RH_Default_Temp_5,Default Mode,64,-24,-8,#D77C7C
371,372,RH_Default_Temp_6,Default Mode,48,-20,-8,#D77C7C
372,373,RH_Default_Temp_7,Default Mode,64,-38,0,#D77C7C
373,374,RH_Default_Temp_8,Default Mode,50,-34,2,#D77C7C
374,375,RH_Default_PFCv_1,Default Mode,34,22,-18,#D77C7C
375,376,RH_Default_PFCv_2,Default Mode,36,38,-14,#D77C7C
376,377,RH_Default_PFCv_3,Default Mode,48,32,-8,#D77C7C
377,378,RH_Default_PFCv_4,Default Mode,54,24,6,#D77C7C
378,379,RH_Default_PFCdPFCm_1,Default Mode,6,42,-10,#D77C7C
379,380,RH_Default_PFCdPFCm_2,Default Mode,10,66,0,#D77C7C
380,381,RH_Default_PFCdPFCm_3,Default Mode,8,42,4,#D77C7C
381,382,RH_Default_PFCdPFCm_4,Default Mode,8,54,12,#D77C7C
382,383,RH_Default_PFCdPFCm_5,Default Mode,18,64,16,#D77C7C
383,384,RH_Default_PFCdPFCm_6,Default Mode,6,26,18,#D77C7C
384,385,RH_Default_PFCdPFCm_7,Default Mode,6,58,30,#D77C7C
385,386,RH_Default_PFCdPFCm_8,Default Mode,16,52,36,#D77C7C
386,387,RH_Default_PFCdPFCm_9,Default Mode,4,44,40,#D77C7C
387,388,RH_Default_PFCdPFCm_10,Default Mode,26,34,38,#D77C7C
388,389,RH_Default_PFCdPFCm_11,Default Mode,14,38,52,#D77C7C
389,390,RH_Default_PFCdPFCm_12,Default Mode,24,26,50,#D77C7C
390,391,RH_Default_PFCdPFCm_13,Default Mode,12,20,62,#D77C7C
391,392,RH_Default_pCunPCC_1,Default Mode,12,-56,16,#D77C7C
392,393,RH_Default_pCunPCC_2,Default Mode,8,-44,20,#D77C7C
393,394,RH_Default_pCunPCC_3,Default Mode,16,-64,28,#D77C7C
394,395,RH_Default_pCunPCC_4,Default Mode,6,-52,24,#D77C7C
395,396,RH_Default_pCunPCC_5,Default Mode,4,-64,32,#D77C7C
396,397,RH_Default_pCunPCC_6,Default Mode,6,-38,34,#D77C7C
397,398,RH_Default_pCunPCC_7,Default Mode,4,-20,36,#D77C7C
398,399,RH_Default_pCunPCC_8,Default Mode,10,-52,36,#D77C7C
399,400,RH_Default_pCunPCC_9,Default Mode,8,-50,44,#D77C7C
400,401,L_Accumbens,Subcortex,-9,12,-6,#6BD3FF
401,402,L_Amygdala,Subcortex,-23,-5,-20,#6BD3FF
402,403,L_Caudate,Subcortex,-13,6,11,#6BD3FF
403,404,L_Hippocampus,Subcortex,-25,-23,-14,#6BD3FF
404,405,L_Pallidum,Subcortex,-20,-5,-1,#6BD3FF
405,406,L_Putamen,Subcortex,-26,0,0,#6BD3FF
406,407,L_Thalamus,Subcortex,-11,-19,6,#6BD3FF
